Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide,Insulin,Leptin,GIP (total),IL-6,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR,BodyWeight,MeanLifespan,Plate
1741,BXD63,CD,F,344,680.689,1164.903,7474.594,60.253,NA,565.71,28.251,36.641,NA,8029.66,9.421,5.871,29.24,754,2
818,BXD63,CD,F,218,470.386,1724.092,5407.542,1049.231,NA,197.19,66.75,22.269,44.351,7152.357,9.899,21.972,28.3,754,3
819,BXD63,CD,F,218,419.548,1033.688,11946.647,448.562,NA,319.181,18.638,36.641,68.687,16340.675,8.939,9.526,28.1,754,3
820,BXD63,CD,F,582,547.959,1787.272,3423.186,255.36,30.449,264.882,10.442,63.198,85.021,4506.297,39.541,12.354,23.12,754,4
821,BXD63,CD,F,582,518.913,1017.479,6700.817,157.807,10.646,75.203,17.211,29.672,67.181,8650.463,6.227,6.667,27.92,754,5
2092,BXD63,CD,F,752,326.847,559.552,969.163,287.961,NA,327.257,32.673,41.348,110.9,11461.504,6.36,NA,NA,754,7
1203,BXD64,CD,F,209,3974.248,692.018,3092.187,2.14,14.698,NA,1.353,NA,NA,1906.441,NA,0,23.1,NA,5
1204,BXD64,CD,F,209,352.431,700.57,1670.558,59.092,NA,NA,11.836,13.089,191.765,12358.423,4.49,5.851,21.69,NA,5
1199,BXD64,CD,F,550,66.596,222.062,99.529,178.536,644.932,151.552,23.702,127.526,583.966,32417.766,5834.444,0.576,51.29,NA,1
1199,BXD64,CD,F,550,66.596,222.062,99.529,178.536,644.932,151.552,23.702,127.526,583.966,32417.766,5834.444,0.576,51.29,NA,1
1720,BXD65,CD,F,181,99.66,1673.347,613.838,376.482,12.421,180.03,18.638,NA,NA,3896.213,12.252,15.181,24.56,875,2
1284,BXD65,CD,F,367,2124.523,2732.154,12100.197,281.254,18.327,174.075,16.761,18.531,NA,18831.878,2.249,29.114,40.71,875,3
1283,BXD65,CD,F,367,552.708,1660.519,11063.036,170.109,34.353,228.947,50.857,25.751,68.687,13946.715,5.466,15.901,33.63,875,3
807,BXD65,CD,F,711,2514.014,1548.896,1744.637,83.009,64.575,75.203,11.836,NA,6.956,11429.689,0.881,8.81,26.42,875,5
808,BXD65,CD,F,711,2314.466,2765.317,NA,227.809,86.772,179.398,NA,2172.784,1770.944,21092.534,7.721,23.494,32.48,875,5
2097,BXD65,CD,F,186,528.085,1367.325,1825.417,108.95,NA,149.888,42.217,NA,149.995,8249.946,6.161,11.814,26.51,875,6
2098,BXD65,CD,F,222,276.512,688.086,689.526,53.224,389.532,227.795,98.989,70.485,101.69,3758.517,5.811,6.787,23.8,875,6
1786,BXD65,CD,F,541,18.039,1333.334,16194.57,659.814,133.909,NA,35.056,NA,350.727,11278.271,13.804,NA,NA,875,7
1787,BXD65,CD,F,541,657.115,1977.245,4485.226,236.981,62.333,149.888,79.139,NA,109.161,8373.827,9.576,NA,NA,875,7
1793,BXD65,CD,F,527,1461.295,3037.501,NA,150.674,24.564,NA,15.402,NA,54.957,19195.354,8.013,NA,NA,875,7
1794,BXD65,CD,F,527,676.201,1593.79,11475.86,202.942,359.167,532.606,11.444,NA,142.93,7610.734,30.388,NA,NA,875,7
1766,BXD65b,CD,F,187,81.265,1385.324,453.49,122.349,NA,23.346,29.277,NA,NA,2366.173,10.375,15.061,26.09,754,2
1710,BXD65b,CD,F,187,86.376,1483.441,218.89,37.439,34.353,223.856,3.151,NA,NA,3877.439,8.939,14.846,41.28,754,2
1410,BXD65b,CD,F,302,66.949,1413.766,61.762,31.847,NA,66.565,1.476,NA,NA,1781.315,7.967,15.676,24.01,754,2
2108,BXD65b,CD,F,748,59.806,708.025,238.707,164.347,NA,NA,6.828,NA,51.645,6395.954,2.531,NA,NA,754,7
2107,BXD65b,CD,F,748,51.76,500.537,279.043,128.357,82.104,NA,46.704,NA,66.831,15955.845,4.158,NA,NA,754,7
1411,BXD65b,CD,F,188,199.01,15927.434,5124.227,566.523,1439.037,370.092,367.812,413.147,662.972,51351.892,63.114,NA,NA,754,1
1412,BXD65b,CD,F,370,841.906,2033.653,6647.674,161.571,58.311,114.643,50.142,43.844,46.696,21370.108,10.815,16.253,29.68,754,1
1413,BXD65b,CD,F,370,1536.449,3792.909,23583.558,254.699,46.21,136.365,163.517,64.036,135.958,46160.838,21.703,32.498,33.33,754,1
1714,BXD65b,CD,F,174,2247.005,6013.063,29094.878,910.498,46.21,388.637,88.697,357.865,313.55,76801.604,30.759,71.868,45.76,754,1
1595,BXD65b,CD,F,415,1203.418,3798.987,33754.477,40.049,64.358,96.864,9.682,102.084,149.035,70118.02,27.6,29.267,44.81,754,1
1596,BXD65b,CD,F,415,557.65,1803.787,1735.812,192.379,52.261,10.285,67.243,71.853,174.123,47271.534,15.846,11.559,24.94,754,1
1714,BXD65b,CD,F,174,2247.005,6013.063,29094.878,910.498,46.21,388.637,88.697,357.865,313.55,76801.604,30.759,71.868,45.76,754,1
1411,BXD65b,CD,F,188,199.01,15927.434,5124.227,566.523,1439.037,370.092,367.812,413.147,662.972,51351.892,63.114,NA,NA,754,1
1412,BXD65b,CD,F,370,841.906,2033.653,6647.674,161.571,58.311,114.643,50.142,43.844,46.696,21370.108,10.815,16.253,29.68,754,1
1413,BXD65b,CD,F,370,1536.449,3792.909,23583.558,254.699,46.21,136.365,163.517,64.036,135.958,46160.838,21.703,32.498,33.33,754,1
1595,BXD65b,CD,F,415,1203.418,3798.987,33754.477,40.049,64.358,96.864,9.682,102.084,149.035,70118.02,27.6,29.267,44.81,754,1
1596,BXD65b,CD,F,415,557.65,1803.787,1735.812,192.379,52.261,10.285,67.243,71.853,174.123,47271.534,15.846,11.559,24.94,754,1
1558,BXD66,CD,F,354,215.964,1346.856,439.616,45.817,12.421,167.987,10.435,24.037,72.221,12829.929,20.343,8.728,21.58,637,2
2128,BXD66,CD,F,184,282.259,797.596,2815.814,32.991,NA,260.617,5.999,NA,136.932,8628.092,6.998,3.503,29.16,637,6
2127,BXD66,CD,F,184,87.775,1052.271,1099.464,65.386,NA,180.671,3.438,NA,50.864,3554.639,7.484,6.137,27.36,637,6
758,BXD67,CD,F,564,299.068,894.708,925.214,535.431,53.335,122.391,70.204,NA,108.266,25301.178,4.391,4.123,22.02,544,5
759,BXD67,CD,F,564,541.56,1017.479,1249.605,188.033,NA,143.636,25.444,NA,57.102,15460.808,1.689,4.102,22.78,544,5
1343,BXD67,CD,F,716,1822.988,8135.643,28006.285,1151.402,136.817,510.666,31.701,176.477,607.41,69525.099,71.988,73.221,23.48,544,1
